№,ИНН,Наименование организации,Полное наименование организации,Статус СПАРК,Статус внутренний,Статус ИТОГ,Дата добавления в реестр,Юридический адрес,Адрес производства,Адрес дополнительной площадки,latitude,longitude,Основная отрасль,Подотрасль (Основная),Дополнительная отрасль,Подотрасль (Дополнительная),Отраслевые презентации,Основной ОКВЭД (СПАРК),Вид деятельности по основному ОКВЭД (СПАРК),Производственный ОКВЭД,Вид деятельности по производственному ОКВЭД,Общие сведения об организации,Размер предприятия (итог),Размер предприятия (итог) 2022,Размер предприятия (по численности),Размер предприятия (по численности) 2022,Размер предприятия (по выручке),Размер предприятия (по выручке) 2022,Дата регистрации,Руководитель,Головная организация,ИНН головной организации,Вид отношения головной организации,Контактные данные руководства,Почта руководства,Контакт сотрудника организации,Номер телефона,Контактные данные ответственного по ЧС,Сайт,Электронная почта,Данные о мерах поддержки,Наличие особого статуса,Площадка итог,Получена поддержка от г. Москвы,Системообразующее предприятие,Статус МСП,То самое,Финансово-экономические показатели,"Выручка предприятия, тыс. руб. 2017","Выручка предприятия, тыс. руб. 2018","Выручка предприятия, тыс. руб. 2019","Выручка предприятия, тыс. руб. 2020","Выручка предприятия, тыс. руб. 2021","Выручка предприятия, тыс. руб. 2022","Выручка предприятия, тыс. руб. 2023","Чистая прибыль (убыток),тыс. руб. 2017","Чистая прибыль (убыток),тыс. руб. 2018","Чистая прибыль (убыток),тыс. руб. 2019","Чистая прибыль (убыток),тыс. руб. 2020","Чистая прибыль (убыток),тыс. руб. 2021","Чистая прибыль (убыток),тыс. руб. 2022","Чистая прибыль (убыток),тыс. руб. 2023","Среднесписочная численность персонала (всего по компании), чел 2017","Среднесписочная численность персонала (всего по компании), чел 2018","Среднесписочная численность персонала (всего по компании), чел 2019","Среднесписочная численность персонала (всего по компании), чел 2020","Среднесписочная численность персонала (всего по компании), чел 2021","Среднесписочная численность персонала (всего по компании), чел 2022","Среднесписочная численность персонала (всего по компании), чел 2023","Среднесписочная численность персонала, работающего в Москве, чел 2017","Среднесписочная численность персонала, работающего в Москве, чел 2018","Среднесписочная численность персонала, работающего в Москве, чел 2019","Среднесписочная численность персонала, работающего в Москве, чел 2020","Среднесписочная численность персонала, работающего в Москве, чел 2021","Среднесписочная численность персонала, работающего в Москве, чел 2022","Среднесписочная численность персонала, работающего в Москве, чел 2023","Фонд оплаты труда всех сотрудников организации, тыс. руб 2017","Фонд оплаты труда всех сотрудников организации, тыс. руб 2018","Фонд оплаты труда всех сотрудников организации, тыс. руб 2019","Фонд оплаты труда всех сотрудников организации, тыс. руб 2020","Фонд оплаты труда всех сотрудников организации, тыс. руб 2021","Фонд оплаты труда всех сотрудников организации, тыс. руб 2022","Фонд оплаты труда всех сотрудников организации, тыс. руб 2023","Средняя з.п. всех сотрудников организации,  тыс.руб. 2017","Средняя з.п. всех сотрудников организации,  тыс.руб. 2018","Средняя з.п. всех сотрудников организации,  тыс.руб. 2019","Средняя з.п. всех сотрудников организации,  тыс.руб. 2020","Средняя з.п. всех сотрудников организации,  тыс.руб. 2021","Средняя з.п. всех сотрудников организации,  тыс.руб. 2022","Средняя з.п. всех сотрудников организации,  тыс.руб. 2023","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2017","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2018","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2019","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2020","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2021","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2022","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2023","Налог на прибыль, тыс.руб. 2017","Налог на прибыль, тыс.руб. 2018","Налог на прибыль, тыс.руб. 2019","Налог на прибыль, тыс.руб. 2020","Налог на прибыль, тыс.руб. 2021","Налог на прибыль, тыс.руб. 2022","Налог на прибыль, тыс.руб. 2023"
1,3746317213,ООО «ТоропливыйПром»,Общество с ограниченной ответственностью «ТоропливыйПром»»,Действует,Активна,В реестре,2021-01-20,"ст. Азов (Рост.), бул. Челюскинцев, д. 5, 351161","ст. Азов (Рост.), бул. Челюскинцев, д. 5, 351161","ст. Балашиха, пр. Свободный, д. 2/9 стр. 6, 103413",55.775792,37.609714,Машиностроение,Комплектующие,Ремонт,Сервис,Есть,16.1,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ТоропливыйПром» — промышленное предприятие, действующее с 2012 года.",Крупное,Крупное,Крупное,Крупное,Крупное,Малое,2012-07-02,Цветков Аким Павловна,НПО «Наумов»,3585650756,Холдинг,+7 133 890 8386,larionovtrifon@zao.ru,Михаил Владиславович Фомин,+7 133 890 8386,Карл Артёмович Кошелев,https://ao.org,larionovtrifon@zao.ru,Не получала,Нет,Москва,Нет,Нет,Микро,Да,Стабильный рост выручки и численности персонала,2532428,2278556,2386198,1969631,2063082,2321701,1933519,249295,181059,245676,269973,354187,265633,187254,129,130,132,125,127,151,142,132,121,147,125,125,125,123,2645888,2303202,2252817,2510140,2428349,2397426,2164393,1118,1108,1361,1212,1155,981,1095,125658,121062,110738,118094,136092,149628,131606,142690,359640,392891,422788,327439,422067,431858
2,3098545541,ООО «ПохороныПром»,Общество с ограниченной ответственностью «ПохороныПром»»,Ликвидирована,Активна,В реестре,2019-04-20,"к. Дзержинск, бул. Механический, д. 7/6, 287101","к. Дзержинск, бул. Механический, д. 7/6, 287101","д. Богучар, пр. Семашко, д. 9 к. 518, 146270",55.769562,37.700922,Машиностроение,Производство деталей,Переработка,Ремонт деталей,Есть,13.2,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ПохороныПром» — промышленное предприятие, действующее с 2018 года.",Крупное,Малое,Крупное,Крупное,Малое,Среднее,2018-06-18,Александров Творимир Николаевна,Компания Адамас,6004182187,Холдинг,+7 (056) 413-9537,efim_2016@oao.ru,Дарья Сергеевна Сысоева,+7 (056) 413-9537,Исаев Лаврентий Юльевич,https://ao.biz,efim_2016@oao.ru,Получала субсидию,Нет,Москва,Да,Нет,Крупное,Нет,Стабильный рост выручки и численности персонала,3289794,3530044,3060549,2600673,2865451,2678115,2503169,441100,222769,185235,251843,143713,195578,336555,165,164,132,132,115,112,115,169,158,155,152,175,180,174,3003047,3171288,3109314,3029461,2500786,2243476,2532122,1575,1534,1562,1462,1148,1023,1102,172375,168703,157579,186150,197931,174748,168924,297563,339703,205203,346208,221784,229962,258756
3,3271782991,ООО «СовещаниеПром»,Общество с ограниченной ответственностью «СовещаниеПром»»,Ликвидирована,Заморожена,В реестре,2023-01-02,"к. Тулун, пр. Ульяновский, д. 74 стр. 8, 133150","к. Тулун, пр. Ульяновский, д. 74 стр. 8, 133150","г. Бреды, бул. Привокзальный, д. 11 стр. 2, 473829",55.693989,37.594371,Текстильная промышленность,Производство деталей,Логистика,Ремонт деталей,Есть,13.2,Производство промышленной продукции,16.1,Производство оборудования,"ООО «СовещаниеПром» — промышленное предприятие, действующее с 2009 года.",Крупное,Среднее,Среднее,Малое,Крупное,Малое,2009-05-15,Афанасьев Герасим Марсович,Блохин Инкорпорэйтед,2472659626,Холдинг,+73039117182,moiseevalidija@rao.edu,Надежда Георгиевна Белова,+73039117182,Горбунов Мина Федосьевич,https://zao.net,moiseevalidija@rao.edu,Получала субсидию,Нет,Другой регион,Нет,Нет,Микро,Да,Стабильный рост выручки и численности персонала,4942202,4501852,4177454,4703308,4591897,5214312,4846799,657137,652376,411004,691109,271276,337579,498159,223,247,300,320,271,293,314,229,248,190,215,218,197,185,4569243,5602638,5576035,5814758,6279773,5039037,5615484,2436,2607,2426,2466,2436,2520,2546,230549,222945,210284,194449,181192,214101,240677,561065,542557,350826,508766,653093,374888,333767
4,8106906538,ООО «ВторойПром»,Общество с ограниченной ответственностью «ВторойПром»»,Ликвидирована,Заморожена,В реестре,2020-06-05,"г. Ковров, пр. Вахитова, д. 4/7, 260647","г. Ковров, пр. Вахитова, д. 4/7, 260647","п. Калачинск, алл. Майская, д. 150 к. 9/9, 081219",55.75049,37.565334,Пищевая промышленность,Комплектующие,Логистика,Сервис,Есть,13.2,Производство промышленной продукции,28.41,Производство оборудования,"ООО «ВторойПром» — промышленное предприятие, действующее с 2008 года.",Среднее,Малое,Малое,Малое,Малое,Среднее,2008-05-01,Колобов Надежда Антипович,ООО «Дементьева»,2333241445,Дочерняя,8 (726) 247-3178,varhipova@ao.com,Ковалев Филарет Денисович,8 (726) 247-3178,Волкова Юлия Артемовна,https://russneft.ru,varhipova@ao.com,Не получала,Да,Москва,Да,Нет,Микро,Нет,Стабильный рост выручки и численности персонала,3859945,4293539,4194584,3803080,3898667,3442987,3746189,567297,375538,526268,400824,594823,603105,459988,201,185,198,223,205,185,204,191,190,185,176,178,192,198,3865925,3962107,3668966,4711576,4468113,3944691,3840750,1926,2102,2050,2130,1997,1969,2058,182085,191296,235524,207371,186663,197591,187408,281835,316780,324802,517975,367035,168642,470851
5,3668616333,ООО «ПривлекатьПром»,Общество с ограниченной ответственностью «ПривлекатьПром»»,Ликвидирована,Заморожена,В реестре,2020-05-25,"г. Костомукша, наб. Авиационная, д. 9/5 к. 284, 411824","г. Костомукша, наб. Авиационная, д. 9/5 к. 284, 411824","п. Кулунда, пр. Ударный, д. 516 стр. 305, 278680",55.682291,37.741703,Металлургия,Комплектующие,Ремонт,Транспортировка,Нет,20.13,Производство промышленной продукции,25.62,Производство оборудования,"ООО «ПривлекатьПром» — промышленное предприятие, действующее с 2014 года.",Малое,Малое,Малое,Малое,Крупное,Крупное,2014-01-09,Ширяева Фортунат Богдановна,РАО «Сысоева»,9438411468,Дочерняя,8 107 991 1838,izjaslav_46@ooo.info,Виктория Тимофеевна Петрова,8 107 991 1838,Фаина Тимуровна Куликова,https://evdokimov.com,izjaslav_46@ooo.info,Получала субсидию,Да,Подмосковье,Нет,Нет,Малое,Да,Стабильный рост выручки и численности персонала,1198151,1247123,1209776,1305878,1334053,1186141,1187466,123399,101604,73239,161715,160351,158277,133384,57,57,61,58,62,50,55,55,55,58,55,60,57,60,1241685,1113575,1146288,1011595,983200,971201,1024701,592,578,660,617,566,597,489,63453,52408,55725,62090,56177,63011,57927,130136,164951,158734,101946,115248,164099,109267
6,9908115095,ООО «ПадальПром»,Общество с ограниченной ответственностью «ПадальПром»»,Действует,Активна,Не в реестре,2018-08-04,"ст. Всеволожск, ш. Партизанское, д. 4/4 к. 6/5, 303654","ст. Всеволожск, ш. Партизанское, д. 4/4 к. 6/5, 303654","клх Тимашевск, бул. Толстого, д. 314 к. 1, 965569",55.77356,37.518676,Текстильная промышленность,Производство деталей,Ремонт,Ремонт деталей,Нет,16.1,Производство промышленной продукции,16.1,Производство оборудования,"ООО «ПадальПром» — промышленное предприятие, действующее с 2013 года.",Малое,Крупное,Малое,Среднее,Среднее,Среднее,2013-06-12,Сидоров Андроник Ефремович,Жуков Групп,7136777415,Холдинг,8 923 226 02 56,epifan_31@oao.edu,Евдокия Ждановна Соловьева,8 923 226 02 56,Смирнова Регина Тарасовна,https://oao.ru,epifan_31@oao.edu,Получала субсидию,Да,Другой регион,Да,Да,Малое,Нет,Стабильный рост выручки и численности персонала,581298,484733,433560,448159,468540,392634,404555,51023,79355,74476,66822,40639,32983,66459,28,29,32,31,26,32,29,26,33,33,38,35,39,38,552698,559692,646299,733950,785017,729056,646137,268,274,258,282,230,236,224,24746,29960,25767,26704,28406,25354,27953,46928,77339,63723,53043,63914,29606,64167
7,3028168523,ООО «ЧеткоПром»,Общество с ограниченной ответственностью «ЧеткоПром»»,Действует,Проверка,В реестре,2023-08-09,"д. Хатанга, пр. Советский, д. 5 к. 66, 773872","д. Хатанга, пр. Советский, д. 5 к. 66, 773872","д. Яшкуль, наб. Студенческая, д. 44 стр. 12, 379176",55.748951,37.498605,Пищевая промышленность,Комплектующие,Переработка,Сервис,Есть,28.41,Производство промышленной продукции,20.13,Производство оборудования,"ООО «ЧеткоПром» — промышленное предприятие, действующее с 2019 года.",Среднее,Среднее,Малое,Среднее,Крупное,Среднее,2019-04-23,Суворова Оксана Оскаровна,Мострансавто,8413332538,Холдинг,+7 484 656 48 23,qkudrjavtsev@zao.edu,Игнатов Нестор Эдгарович,+7 484 656 48 23,Гедеон Абрамович Рожков,https://uralvtormet.biz,qkudrjavtsev@zao.edu,Получала субсидию,Нет,Москва,Нет,Нет,Среднее,Нет,Стабильный рост выручки и численности персонала,4830639,4870987,4772891,5264166,5321569,6037244,5484269,700915,568977,458184,704550,737344,589236,481540,217,227,249,205,258,254,291,244,230,249,258,311,249,300,4717142,4282206,4336591,4196582,4359788,4167808,4529550,2218,2026,2224,2201,2375,2164,2216,213211,260047,292384,255128,270017,291102,306848,446437,416870,371546,596492,501373,350417,472344
8,8739238825,ООО «ВстатьПром»,Общество с ограниченной ответственностью «ВстатьПром»»,В процессе ликвидации,Проверка,В реестре,2022-08-06,"с. Кропоткин (Краснод.), ш. Энергетическое, д. 4/5, 143455","с. Кропоткин (Краснод.), ш. Энергетическое, д. 4/5, 143455","п. Киров (Вятка), бул. Амурский, д. 71 к. 6/9, 603669",55.743162,37.638468,Металлургия,Комплектующие,Ремонт,Сервис,Есть,20.13,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ВстатьПром» — промышленное предприятие, действующее с 2020 года.",Крупное,Малое,Среднее,Малое,Крупное,Крупное,2020-03-04,Кононова Ульяна Борисович,НЛМК,9201789018,Филиал,+7 (788) 957-98-68,rostislav_1973@chernov.info,Ульяна Мироновна Архипова,+7 (788) 957-98-68,Казаков Лаврентий Терентьевич,https://ao.org,rostislav_1973@chernov.info,Получала субсидию,Нет,Москва,Да,Да,Среднее,Нет,Стабильный рост выручки и численности персонала,1611716,1703929,1741703,1842804,2012082,2003883,2146479,212792,241577,145654,169326,135906,255374,210108,83,93,94,91,82,93,79,80,85,90,83,87,109,97,1719712,1672338,1759027,1635752,1644045,1472670,1309686,879,755,872,800,895,1116,944,83061,85224,79765,79347,80466,100809,84681,217081,193280,76655,192972,73719,129546,90268
9,6590459705,ООО «СпособПром»,Общество с ограниченной ответственностью «СпособПром»»,Действует,Проверка,Не в реестре,2018-09-12,"п. Славгород, ул. Троицкая, д. 6/4, 556464","п. Славгород, ул. Троицкая, д. 6/4, 556464","клх Улан-Удэ, наб. Вольная, д. 400, 092327",55.85414,37.577453,Текстильная промышленность,Сборка оборудования,Переработка,Ремонт деталей,Нет,13.2,Производство промышленной продукции,10.51,Производство оборудования,"ООО «СпособПром» — промышленное предприятие, действующее с 2005 года.",Крупное,Крупное,Среднее,Малое,Крупное,Крупное,2005-12-03,Константинова Панкрат Антоновна,Московский кредитный банк,5836956044,Холдинг,8 627 298 0699,sevastjanpoljakov@npo.info,Рябова Октябрина Ждановна,8 627 298 0699,Глафира Юльевна Кошелева,https://slata.edu,sevastjanpoljakov@npo.info,Получала субсидию,Нет,Подмосковье,Нет,Нет,Крупное,Да,Стабильный рост выручки и численности персонала,340175,420387,391682,388364,411677,357565,373126,29681,33612,22130,33991,50656,51924,50624,19,16,16,16,15,13,15,18,18,20,22,19,19,17,365678,398603,336541,374511,342823,306118,312199,188,171,177,201,172,160,179,17995,18022,16816,17213,16681,18304,17971,19354,21462,25485,29450,43420,32965,45938
10,5476654128,ООО «ХозяйкаПром»,Общество с ограниченной ответственностью «ХозяйкаПром»»,Действует,Проверка,Не в реестре,2020-04-13,"г. Радужный, ул. Седова, д. 8 к. 36, 987769","г. Радужный, ул. Седова, д. 8 к. 36, 987769","ст. Верхнее Пенжино, пр. Петровский, д. 7/6 к. 375, 354549",55.779239,37.690141,Машиностроение,Комплектующие,Логистика,Сервис,Нет,20.13,Производство промышленной продукции,28.41,Производство оборудования,"ООО «ХозяйкаПром» — промышленное предприятие, действующее с 2017 года.",Среднее,Крупное,Среднее,Крупное,Малое,Среднее,2017-08-11,Михеева Майя Валентинович,Л'Ореаль (L'Oreal),9245348297,Дочерняя,83149190586,firs66@kazanorgsintez.ru,Михеева Евдокия Артемовна,83149190586,Исаков Селиван Демидович,https://ip.ru,firs66@kazanorgsintez.ru,Получала грант,Да,Москва,Нет,Нет,Микро,Нет,Стабильный рост выручки и численности персонала,3886375,3968427,3787657,3969372,3584952,3229842,2933084,243129,260266,524341,457582,502821,502778,394347,208,195,224,202,184,157,168,183,214,215,182,214,203,220,3625908,3885910,3954373,4050406,4254805,3929848,4125207,1971,2127,2067,1988,2406,2175,2191,194565,225517,221753,192442,218772,262778,232490,552654,455054,544831,619049,447473,344734,505159
